# t_days flux
1.325299983304412535e+03 nan
1.325301372215150195e+03 1.357471250000000000e+05
1.325302761125887400e+03 1.358011250000000000e+05
1.325304150036158035e+03 1.357559062500000000e+05
1.325305538946895695e+03 1.357478281250000000e+05
1.325306927857167238e+03 1.356494843750000000e+05
1.325308316767903534e+03 1.356549062500000000e+05
1.325309705678175533e+03 1.357942968750000000e+05
1.325311094588912738e+03 1.357126250000000000e+05
1.325312483499183827e+03 1.357531406250000000e+05
1.325313872409921487e+03 1.356813750000000000e+05
1.325315261320192349e+03 1.357171562500000000e+05
1.325316650230463665e+03 1.356908281250000000e+05
1.325318039141201325e+03 1.356610000000000000e+05
1.325319428051472869e+03 1.357170937500000000e+05
1.325320816961743958e+03 1.356842031250000000e+05
1.325322205872481163e+03 1.356625781250000000e+05
1.325323594782753162e+03 1.357068437500000000e+05
1.325324983693024706e+03 1.356585468750000000e+05
1.325326372603295340e+03 1.355932968750000000e+05
1.325327761514033000e+03 1.355657656250000000e+05
1.325329150424304544e+03 1.356425312500000000e+05
1.325330539334575178e+03 1.355842031250000000e+05
1.325331928244847177e+03 1.356706406250000000e+05
1.325333317155118266e+03 1.356299218750000000e+05
1.325334706065389128e+03 1.356799062500000000e+05
1.325336094975661354e+03 1.356476250000000000e+05
1.325337483885933352e+03 1.356355468750000000e+05
1.325338872796204441e+03 1.356127343750000000e+05
1.325340261706475985e+03 1.356519531250000000e+05
1.325341650616747529e+03 1.355862343750000000e+05
1.325343039527018618e+03 1.356164375000000000e+05
1.325344428437290162e+03 1.355619062500000000e+05
1.325345817347561251e+03 1.355664531250000000e+05
1.325347206257832795e+03 1.356370937500000000e+05
1.325348595168104339e+03 1.356092031250000000e+05
1.325349984078376337e+03 1.356258906250000000e+05
1.325351372988648336e+03 1.355367500000000000e+05
1.325352761898918970e+03 1.355917500000000000e+05
1.325354150808724853e+03 1.355507187500000000e+05
1.325355539718996852e+03 1.355826093750000000e+05
1.325356928629267486e+03 1.356094687500000000e+05
1.325358317539538575e+03 1.356270468750000000e+05
1.325359706449810801e+03 1.355981093750000000e+05
1.325361095359616456e+03 1.356037500000000000e+05
1.325362484269888000e+03 1.355566250000000000e+05
1.325363873180159089e+03 1.355217343750000000e+05
1.325365262089964972e+03 1.355468125000000000e+05
1.325366651000236516e+03 1.355250781250000000e+05
1.325368039910507605e+03 1.355256250000000000e+05
1.325369428820313942e+03 1.355109375000000000e+05
1.325370817730585486e+03 1.354757968750000000e+05
1.325372206640391141e+03 1.354905312500000000e+05
1.325373595550663367e+03 1.355489531250000000e+05
1.325374984460468340e+03 1.354771875000000000e+05
1.325376373370739429e+03 1.356034687500000000e+05
1.325377762280545994e+03 1.355379531250000000e+05
1.325379151190816856e+03 1.354935781250000000e+05
1.325380540100622284e+03 1.355829687500000000e+05
1.325381929010894282e+03 1.355374687500000000e+05
1.325383317920700165e+03 1.355130312500000000e+05
1.325384706830505820e+03 1.355749843750000000e+05
1.325386095740777137e+03 1.354845156250000000e+05
1.325387484650583474e+03 1.356029687500000000e+05
1.325388873560389356e+03 1.354908125000000000e+05
1.325390262470659991e+03 1.355204531250000000e+05
1.325391651380466328e+03 1.355837812500000000e+05
1.325393040290272211e+03 1.355654375000000000e+05
1.325394429200543300e+03 1.354950781250000000e+05
1.325395818110349637e+03 1.355671718750000000e+05
1.325397207020154838e+03 1.355706093750000000e+05
1.325398595929960493e+03 1.354954062500000000e+05
1.325399984839766830e+03 1.356116093750000000e+05
1.325401373750037465e+03 1.355425156250000000e+05
1.325402762659843347e+03 1.355684375000000000e+05
1.325404151569649684e+03 1.355567968750000000e+05
1.325405540479455567e+03 1.355346562500000000e+05
1.325406929389260995e+03 1.355892656250000000e+05
1.325408318299066877e+03 1.354577187500000000e+05
1.325409707208873215e+03 1.355870312500000000e+05
1.325411096118679097e+03 1.355556250000000000e+05
1.325412485028484070e+03 1.355707187500000000e+05
1.325413873938290408e+03 1.355256562500000000e+05
1.325415262848095836e+03 1.355610156250000000e+05
1.325416651757901036e+03 1.355867343750000000e+05
1.325418040667707601e+03 1.355221562500000000e+05
1.325419429577513029e+03 1.355640000000000000e+05
1.325420818487318911e+03 1.355426562500000000e+05
1.325422207397125248e+03 1.355990468750000000e+05
1.325423596306931131e+03 1.355906875000000000e+05
1.325424985216270898e+03 1.355863281250000000e+05
1.325426374126076780e+03 1.355145312500000000e+05
1.325427763035882208e+03 1.355690937500000000e+05
1.325429151945688091e+03 1.355920625000000000e+05
1.325430540855493973e+03 1.355226093750000000e+05
1.325431929764834649e+03 1.355910468750000000e+05
1.325433318674640077e+03 1.355777968750000000e+05
1.325434707584445050e+03 1.355302031250000000e+05
1.325436096494251615e+03 1.355641562500000000e+05
1.325437485403591609e+03 1.356361562500000000e+05
1.325438874313396582e+03 1.355415156250000000e+05
1.325440263223202919e+03 1.356424218750000000e+05
1.325441652132543823e+03 1.355800156250000000e+05
1.325443041042349478e+03 1.356835937500000000e+05
1.325444429951689699e+03 1.356182968750000000e+05
1.325445818861495127e+03 1.355582187500000000e+05
1.325447207771301009e+03 1.355655468750000000e+05
1.325448596680641003e+03 1.356407343750000000e+05
1.325449985590446659e+03 1.355649218750000000e+05
1.325451374499786880e+03 1.355601718750000000e+05
1.325452763409592308e+03 1.356154531250000000e+05
1.325454152318933211e+03 1.356289531250000000e+05
1.325455541228738866e+03 1.355341406250000000e+05
1.325456930138078178e+03 1.356391875000000000e+05
1.325458319047884515e+03 1.356096875000000000e+05
1.325459707957225191e+03 1.356773125000000000e+05
1.325461096866564731e+03 1.356184531250000000e+05
1.325462485776370386e+03 1.356605781250000000e+05
1.325463874685711062e+03 1.356707656250000000e+05
1.325465263595516035e+03 1.356671562500000000e+05
1.325466652504856256e+03 1.356043593750000000e+05
1.325468041414196932e+03 1.356766718750000000e+05
1.325469430324002815e+03 1.356789375000000000e+05
1.325470819233342581e+03 1.356689531250000000e+05
1.325472208142682803e+03 1.357275312500000000e+05
1.325473597052022797e+03 1.356741562500000000e+05
1.325474985961828452e+03 1.356748906250000000e+05
1.325476374871168673e+03 1.356990312500000000e+05
1.325477763780509349e+03 1.357993437500000000e+05
1.325479152689849116e+03 1.357347812500000000e+05
1.325480541599189337e+03 1.357218593750000000e+05
1.325481930508995674e+03 1.357316562500000000e+05
1.325483319418334986e+03 1.358982031250000000e+05
1.325484708327675207e+03 1.358630000000000000e+05
1.325486097237015883e+03 1.359746250000000000e+05
1.325487486146355195e+03 1.358934375000000000e+05
1.325488875055695416e+03 1.359830781250000000e+05
1.325490263965036092e+03 1.360721093750000000e+05
1.325491652874375859e+03 1.360090625000000000e+05
1.325493041783716080e+03 1.360375468750000000e+05
1.325494430693056302e+03 1.360427656250000000e+05
1.325495819602396978e+03 1.360430781250000000e+05
1.325497208511736744e+03 1.359263437500000000e+05
1.325498597421076283e+03 1.360178437500000000e+05
1.325499986330417187e+03 1.360020625000000000e+05
1.325501375239756953e+03 1.360263437500000000e+05
1.325502764149097175e+03 1.360496875000000000e+05
1.325504153058437851e+03 1.360387031250000000e+05
1.325505541967777162e+03 1.360787500000000000e+05
1.325506930877117384e+03 1.359950937500000000e+05
1.325508319786458060e+03 1.359709843750000000e+05
1.325509708695331710e+03 1.360297500000000000e+05
1.325511097604671704e+03 1.360145312500000000e+05
1.325512486514012608e+03 1.360637031250000000e+05
1.325513875423353284e+03 1.360096093750000000e+05
1.325515264332693050e+03 1.360567500000000000e+05
1.325516653241566701e+03 1.360450937500000000e+05
1.325518042150907604e+03 1.360420156250000000e+05
1.325519431060247598e+03 1.360200156250000000e+05
1.325520819969586910e+03 1.360262031250000000e+05
1.325522208878461925e+03 1.360697812500000000e+05
1.325523597787802146e+03 1.360704687500000000e+05
1.325524986697142140e+03 1.360560468750000000e+05
1.325526375606017382e+03 1.360360468750000000e+05
1.325527764515356694e+03 1.360274062500000000e+05
1.325529153424696460e+03 1.359946406250000000e+05
1.325530542333571702e+03 1.359691562500000000e+05
1.325531931242911696e+03 1.360557343750000000e+05
1.325533320151786256e+03 1.359778906250000000e+05
1.325534709061126023e+03 1.360114375000000000e+05
1.325536097970466244e+03 1.360472812500000000e+05
